customerID,churn_probability,risk_level
7564-GHCVB,0.05,Low Risk
1173-NOEYG,0.21,Low Risk
7595-EHCDL,0.07,Low Risk
6647-ZEDXT,0.23,Low Risk
2521-NPUZR,0.06,Low Risk
1307-TVUFB,0.08,Low Risk
7503-MIOGA,0.0,Low Risk
4381-MHQDC,0.02,Low Risk
6923-JHPMP,0.32,Medium Risk
5138-WVKYJ,0.72,High Risk
4018-PPNDW,0.0,Low Risk
1635-FJFCC,0.12,Low Risk
2499-AJYUA,0.0,Low Risk
6919-ELBGL,0.0,Low Risk
3966-HRMZA,0.48,Medium Risk
6425-JWTDV,0.0,Low Risk
8405-IGQFX,0.03,Low Risk
8224-IVVPA,0.02,Low Risk
9477-LGWQI,0.0,Low Risk
1410-RSCMR,0.22,Low Risk
3115-CZMZD,0.04,Low Risk
0139-IVFJG,0.11,Low Risk
6683-VLCTZ,0.79,High Risk
5730-DBDSI,0.0,Low Risk
0030-FNXPP,0.19,Low Risk
2189-WWOEW,0.79,High Risk
5684-FJVYR,0.03,Low Risk
4013-GUXND,0.15073809523809525,Low Risk
1894-IGFSG,0.79,High Risk
7379-POKDZ,0.81,High Risk
1266-NZYUI,0.15,Low Risk
7969-FFOWG,0.0,Low Risk
4718-DHSMV,0.21,Low Risk
5175-WLYXL,0.16,Low Risk
7817-OMJNA,0.03,Low Risk
8728-SKJLR,0.22,Low Risk
3137-NYQQI,0.06,Low Risk
7706-DZNKK,0.03,Low Risk
0236-HFWSV,0.76,High Risk
3900-AQPHZ,0.4088333333333334,Medium Risk
5842-POCOP,0.8,High Risk
2037-XJFUP,0.82,High Risk
8823-RLPWL,0.0,Low Risk
9505-SQFSW,0.15,Low Risk
7314-OXENN,0.8,High Risk
3758-CKOQL,0.09,Low Risk
0322-CHQRU,0.86,High Risk
5676-CFLYY,0.0,Low Risk
7521-AFHAB,0.19,Low Risk
0285-INHLN,0.02,Low Risk
4678-DVQEO,0.92,High Risk
5125-CNDSP,0.0,Low Risk
0691-IFBQW,0.71,High Risk
4992-LTJNE,0.02,Low Risk
2202-OUTMO,0.08,Low Risk
0810-BDHAW,0.01,Low Risk
0229-LFJAF,0.01,Low Risk
7131-ZQZNK,0.0,Low Risk
3442-ZHHCC,0.09,Low Risk
5726-CVNYA,0.02,Low Risk
9871-ELEYA,0.03,Low Risk
4257-GAESD,0.49,Medium Risk
5173-WXOQV,0.11,Low Risk
2040-OBMLJ,0.07,Low Risk
6286-ZHAOK,0.02,Low Risk
3807-XHCJH,0.66,Medium Risk
3009-JWMPU,0.73,High Risk
5671-RQRLP,0.07,Low Risk
1450-GALXR,0.95,High Risk
8859-AXJZP,0.01,Low Risk
3174-AKMAS,0.01,Low Risk
3138-BKYAV,0.84,High Risk
9926-PJHDQ,0.05,Low Risk
7382-DFJTU,0.13,Low Risk
2798-NYLMZ,0.17,Low Risk
4289-DTDKW,0.85,High Risk
1820-TQVEV,1.0,High Risk
2239-JALAW,0.81,High Risk
4853-RULSV,0.22,Low Risk
8098-TDCBU,0.0,Low Risk
3551-GAEGL,0.07,Low Risk
4785-NKHCX,0.03,Low Risk
3196-NVXLZ,0.2,Low Risk
6275-YDUVO,0.85,High Risk
0036-IHMOT,0.08,Low Risk
0115-TFERT,0.81,High Risk
4178-EGMON,0.01,Low Risk
4220-TINQT,0.07,Low Risk
5318-YKDPV,0.0,Low Risk
7975-TZMLR,0.08,Low Risk
0295-QVKPB,0.09,Low Risk
4335-BSMJS,0.0,Low Risk
2311-QYMUQ,0.76,High Risk
3643-AHCFP,0.92,High Risk
9146-JRIOX,0.06,Low Risk
3104-OWCGK,0.26,Low Risk
5337-IIWKZ,0.08,Low Risk
9101-BWFSS,0.64,Medium Risk
9650-VBUOG,0.0,Low Risk
3487-EARAT,0.02,Low Risk
2672-TGEFF,0.27,Low Risk
9231-ZJYAM,0.92,High Risk
4250-WAROZ,0.05,Low Risk
8184-WMOFI,0.04,Low Risk
6982-SSHFK,0.74,High Risk
6092-QZVPP,0.12,Low Risk
4625-LAMOB,0.0,Low Risk
0727-BMPLR,0.78,High Risk
0392-BZIUW,0.02,Low Risk
1038-ZAGBI,0.02,Low Risk
6549-NNDYT,0.11,Low Risk
3027-ZTDHO,0.77,High Risk
0422-OHQHQ,0.0,Low Risk
6916-HIJSE,0.0,Low Risk
2316-ESMLS,0.12,Low Risk
9778-OGKQZ,0.0,Low Risk
7408-OFWXJ,0.0,Low Risk
6007-TCTST,0.0,Low Risk
2252-NKNSI,0.0,Low Risk
8713-IGZSO,0.09,Low Risk
7905-TVXTA,0.15,Low Risk
7695-PKLCZ,0.0,Low Risk
2382-BCKQJ,0.78,High Risk
8374-UULRV,0.0,Low Risk
2207-NHRJK,0.91,High Risk
3224-DFQNQ,0.1,Low Risk
5275-PMFUT,0.0,Low Risk
4795-UXVCJ,0.0,Low Risk
9777-IQHWP,0.02,Low Risk
0947-MUGVO,0.92,High Risk
9944-HKVVB,0.84,High Risk
4124-MMETB,0.43,Medium Risk
3671-SHRSP,0.41,Medium Risk
0979-MOZQI,0.01,Low Risk
2732-ISEZX,0.03,Low Risk
3313-QKNKB,0.63,Medium Risk
0323-XWWTN,0.02,Low Risk
1937-OTUKY,0.02,Low Risk
1573-LGXBA,0.03,Low Risk
1764-VUUMT,0.0,Low Risk
5073-WXOYN,0.75,High Risk
4713-ZBURT,0.05,Low Risk
3050-GBUSH,0.26,Low Risk
0207-MDKNV,0.75,High Risk
7876-AEHIG,0.03,Low Risk
7945-HLKEA,0.02,Low Risk
9342-VNIMQ,0.02,Low Risk
9851-KIELU,0.83,High Risk
3523-BRGUW,0.0,Low Risk
3908-BLSYF,0.82,High Risk
3199-NPKCN,0.06,Low Risk
5170-PTRKA,0.04,Low Risk
4661-NJEUX,0.16,Low Risk
2123-AGEEN,0.2,Low Risk
1258-YMZNM,0.11,Low Risk
0048-LUMLS,0.06,Low Risk
7549-MYGPK,0.74,High Risk
5898-IGSLP,0.13,Low Risk
3804-RVTGV,0.81,High Risk
6259-WJQLC,0.18,Low Risk
9227-LUNBG,0.75,High Risk
7997-EASSD,0.02,Low Risk
0730-KOAVE,0.15,Low Risk
8975-SKGRX,0.0,Low Risk
0678-RLHVP,0.14,Low Risk
4315-MURBD,0.92,High Risk
2267-FPIMA,0.1,Low Risk
1051-GEJLJ,0.04166666666666667,Low Risk
9734-YWGEX,0.88,High Risk
2719-BDAQO,0.84,High Risk
5285-MVEHD,0.18,Low Risk
0379-DJQHR,0.02,Low Risk
0781-LKXBR,0.94,High Risk
5543-QDCRY,0.09,Low Risk
0297-RBCSG,0.18,Low Risk
4694-PHWFW,0.02,Low Risk
0835-JKADZ,0.02,Low Risk
1907-UBQFC,0.89,High Risk
7508-SMHXL,0.21,Low Risk
3865-YIOTT,0.03,Low Risk
5993-BQHEA,0.0,Low Risk
6024-RUGGH,0.0,Low Risk
6513-EECDB,0.87,High Risk
3956-CJUST,0.09,Low Risk
4079-WWQQQ,0.0,Low Risk
6103-BOCOU,0.27,Low Risk
5149-TGWDZ,0.15,Low Risk
7471-WNSUF,0.02,Low Risk
8942-DBMHZ,0.02,Low Risk
4301-VVZKA,0.23,Low Risk
9199-PWQVC,0.07,Low Risk
4824-GUCBY,0.11,Low Risk
5393-HJZSM,0.04,Low Risk
7074-IEVOJ,0.74,High Risk
9625-QSTYE,0.51,Medium Risk
0862-PRCBS,0.0,Low Risk
8812-ZRHFP,0.13,Low Risk
5146-CBVOE,0.08,Low Risk
0454-OKRCT,0.03,Low Risk
5787-KXGIY,0.03,Low Risk
4750-ZRXIU,0.99,High Risk
4198-VFOEA,0.02,Low Risk
6630-UJZMY,0.39,Medium Risk
5709-LVOEQ,0.07,Low Risk
6400-BWQKW,0.18,Low Risk
2692-AQCPF,0.02,Low Risk
0347-UBKUZ,0.07,Low Risk
0835-DUUIQ,0.06,Low Risk
0811-GSDTP,0.08,Low Risk
7567-ECMCM,0.12,Low Risk
6115-ZTBFQ,0.0,Low Risk
6353-BRMMA,0.07,Low Risk
6680-WKXRZ,0.88,High Risk
6231-WFGFH,0.08,Low Risk
9904-EHEVJ,0.19,Low Risk
7028-DVOIQ,0.84,High Risk
6169-PPETC,0.0,Low Risk
4208-UFFGW,0.81,High Risk
8584-KMVXD,0.12,Low Risk
8467-WYNSR,0.03,Low Risk
0851-DFJKB,0.14,Low Risk
5382-SOYZL,0.25,Low Risk
9448-REEVD,0.79,High Risk
3261-CQXOL,0.0,Low Risk
8388-FYNPZ,0.3,Low Risk
4002-BQWPQ,0.05,Low Risk
5651-YLPRD,0.23,Low Risk
2826-DXLQO,0.34,Medium Risk
4378-BZYFP,0.01,Low Risk
9489-UTFKA,0.04,Low Risk
4849-PYRLQ,0.01,Low Risk
9117-SHLZX,0.89,High Risk
9889-TMAHG,0.52,Medium Risk
4541-RMRLG,0.69,Medium Risk
7764-BDPEE,0.03,Low Risk
3429-IFLEM,0.0,Low Risk
3158-MOERK,0.97,High Risk
7294-TMAOP,0.96,High Risk
5002-GCQFH,0.1,Low Risk
0556-FJEGU,0.01,Low Risk
8919-FYFQZ,0.74,High Risk
0604-THJFP,0.01,Low Risk
2834-JRTUA,0.65,Medium Risk
5875-YPQFJ,0.6921309523809522,Medium Risk
5879-SESNB,0.25,Low Risk
6646-QVXLR,0.73,High Risk
6461-PPAXN,0.01,Low Risk
3318-ISQFQ,0.04,Low Risk
1106-HRLKZ,0.0,Low Risk
2483-XSSMZ,0.1,Low Risk
8603-IJWDN,0.98,High Risk
8165-ZJRNM,0.0,Low Risk
9369-XFEHK,0.84,High Risk
2604-XVDAM,0.06,Low Risk
3717-OFRTN,0.14400000000000002,Low Risk
9046-JBFWA,0.0,Low Risk
3280-NMUVX,0.0,Low Risk
1206-EHBDD,0.03,Low Risk
8361-LBRDI,0.0,Low Risk
4883-KCPZJ,0.0,Low Risk
9108-EQPNQ,0.01,Low Risk
7277-KAMWT,0.02,Low Risk
3842-IYKUE,0.68,Medium Risk
6641-XRPSU,0.32,Medium Risk
1374-DMZUI,0.94,High Risk
2545-LXYVJ,0.0,Low Risk
3234-VKACU,0.26,Low Risk
8357-EQXFO,0.9,High Risk
1989-PRJHP,0.75,High Risk
8120-JDCAM,0.44,Medium Risk
8917-FAEMR,0.0,Low Risk
7047-YXDMZ,0.0,Low Risk
2858-EIMXH,0.35,Medium Risk
9524-EGPJC,0.82,High Risk
6993-OHLXR,0.89,High Risk
8818-XYFCQ,0.65,Medium Risk
6419-ZTTLE,0.09,Low Risk
0929-HYQEW,0.18,Low Risk
6614-YOLAC,0.01,Low Risk
7426-RHZGU,0.17,Low Risk
4065-JJAVA,0.08,Low Risk
4695-VADHF,0.68,Medium Risk
3863-IUBJR,0.68,Medium Risk
7649-SIJJF,0.0,Low Risk
9361-YNQWJ,0.0,Low Risk
3748-FVMZZ,0.17,Low Risk
9391-TTOYH,0.01,Low Risk
1452-XRSJV,0.06,Low Risk
3422-WJOYD,0.0,Low Risk
8242-SOQUO,0.55,Medium Risk
7460-ITWWP,0.19,Low Risk
7147-AYBAA,0.2,Low Risk
7868-TMWMZ,0.13,Low Risk
4822-RVYBB,0.96,High Risk
6732-FZUGP,0.03,Low Risk
8436-BJUMM,0.69,Medium Risk
4184-TJFAN,0.82,High Risk
8329-GWVPJ,0.14,Low Risk
1352-VHKAJ,0.01,Low Risk
4145-UQXUQ,0.82,High Risk
2632-TACXW,0.0,Low Risk
8146-QQKZH,0.0,Low Risk
1767-CJKBA,0.0,Low Risk
6445-TNRXS,0.05,Low Risk
4581-LNWUM,0.14,Low Risk
4869-EPIUS,0.38,Medium Risk
9948-YPTDG,0.38,Medium Risk
1236-WFCDV,0.78,High Risk
1915-OAKWD,0.12,Low Risk
7296-PIXQY,0.48,Medium Risk
4883-QICIH,0.82,High Risk
3354-OADJP,0.01,Low Risk
3524-WQDSG,0.1,Low Risk
0810-DHDBD,0.01,Low Risk
4026-SKKHW,0.16,Low Risk
2829-HYVZP,0.0,Low Risk
8329-IBCTI,0.03,Low Risk
1271-SJBGZ,0.79,High Risk
3845-JHAMY,0.19,Low Risk
7013-PSXHK,0.02,Low Risk
5669-SRAIP,0.86,High Risk
5981-ITEMU,0.73,High Risk
3486-NPGST,0.0,Low Risk
6941-PMGEP,0.71,High Risk
1624-WOIWJ,0.42,Medium Risk
2074-GKOWZ,0.87,High Risk
0376-YMCJC,0.92,High Risk
6100-FJZDG,0.01,Low Risk
4829-ZLJTK,0.03,Low Risk
1730-VFMWO,0.01,Low Risk
7143-BQIBA,0.07,Low Risk
3800-LYTRK,0.03,Low Risk
0634-SZPQA,0.75,High Risk
9646-NMHXE,0.0,Low Risk
7030-NJVDP,0.07,Low Risk
5536-RTPWK,0.8,High Risk
8883-GRDWQ,0.05,Low Risk
6166-ILMNY,0.96,High Risk
3097-NNSPB,0.85,High Risk
7771-ZONAT,0.03,Low Risk
0655-RBDUG,0.97,High Risk
2111-DWYHN,0.3945714285714286,Medium Risk
4194-WHFCB,0.2,Low Risk
4121-AGSIN,0.0,Low Risk
4361-BKAXE,0.89,High Risk
9845-PEEKO,0.17,Low Risk
0455-XFASS,0.42,Medium Risk
0301-KOBTQ,0.02,Low Risk
1751-NCDLI,0.24,Low Risk
4367-NUYAO,0.02,Low Risk
9878-TNQGW,0.94,High Risk
9170-ARBTB,0.0,Low Risk
4441-NIHPT,0.87,High Risk
8999-BOHSE,0.89,High Risk
7241-AJHFS,0.23,Low Risk
7029-RPUAV,0.84,High Risk
4546-FOKWR,0.21,Low Risk
9036-CSKBW,0.29,Low Risk
5832-TRLPB,0.03,Low Risk
8590-YFFQO,0.0,Low Risk
8659-IOOPU,0.01,Low Risk
1338-CECEE,0.02,Low Risk
7439-DKZTW,0.37,Medium Risk
4646-QZXTF,0.14,Low Risk
4607-CHPCA,0.54,Medium Risk
9742-XOKTS,0.09,Low Risk
6921-OZMFH,0.11,Low Risk
9578-FOMUK,0.05,Low Risk
4712-UYOOI,0.07,Low Risk
8824-RWFXJ,0.74,High Risk
7722-CVFXN,0.18,Low Risk
8717-VCTXJ,0.0,Low Risk
7363-QTBIW,0.29,Low Risk
4159-NAAIX,0.06,Low Risk
0971-QIFJK,0.0,Low Risk
9397-TZSHA,0.0,Low Risk
3391-JSQEW,0.13,Low Risk
0343-QLUZP,0.0,Low Risk
9763-PDTKK,0.91,High Risk
2176-LVPNX,0.01,Low Risk
7627-JKIAZ,0.73,High Risk
3312-UUMZW,0.15,Low Risk
1271-UODNO,0.08,Low Risk
8461-EFQYM,0.07,Low Risk
6900-RBKER,0.04,Low Risk
6891-JPYFF,0.11,Low Risk
1459-QNFQT,0.0,Low Risk
1047-NNCBF,0.18,Low Risk
3696-XRIEN,0.03,Low Risk
4081-DYXAV,0.77,High Risk
0074-HDKDG,0.05,Low Risk
8791-GFXLZ,0.1,Low Risk
8111-SLLHI,0.83,High Risk
0927-LCSMG,0.8,High Risk
9330-DHBFL,0.05,Low Risk
0098-BOWSO,0.03,Low Risk
3452-ABWRL,0.14,Low Risk
5859-HZYLF,0.0,Low Risk
8257-RZAHR,0.7,Medium Risk
5293-WXJAK,0.89,High Risk
3156-QLHBO,0.04,Low Risk
2208-NQBCT,0.11,Low Risk
1779-PWPMG,0.0,Low Risk
6621-NRZAK,0.0,Low Risk
0831-JNISG,0.0,Low Risk
0774-IFUVM,0.09,Low Risk
3082-WQRVY,0.09,Low Risk
9553-DLCLU,0.02,Low Risk
1641-BYBTK,0.01,Low Risk
2460-NGXBJ,0.27,Low Risk
2446-ZKVAF,0.05,Low Risk
0841-NULXI,0.99,High Risk
3522-CDKHF,0.15,Low Risk
1430-SFQSA,0.05,Low Risk
0411-EZJZE,0.15,Low Risk
7851-WZEKY,0.97,High Risk
8844-TONUD,0.46,Medium Risk
8807-ARQET,0.11,Low Risk
8992-CEUEN,0.16,Low Risk
4320-QMLLA,0.1,Low Risk
8777-PVYGU,0.02,Low Risk
8292-ITGYJ,0.01,Low Risk
6870-ZWMNX,0.0,Low Risk
0621-CXBKL,0.0,Low Risk
5268-DSMNQ,0.07,Low Risk
5334-JLAXU,0.19,Low Risk
4086-YQSNZ,0.85,High Risk
6242-MBHPK,0.24,Low Risk
5868-CZJDR,0.52,Medium Risk
9359-UGBTK,0.0,Low Risk
0135-NMXAP,0.66,Medium Risk
4782-OSFXZ,0.0,Low Risk
6479-OAUSD,0.0,Low Risk
7129-ACFOG,0.12,Low Risk
4189-NAKJS,0.04,Low Risk
5562-BETPV,0.18,Low Risk
1282-IHQAC,0.04,Low Risk
9127-FHJBZ,0.1,Low Risk
6270-OMFIW,0.65,Medium Risk
1641-RQDAY,0.15,Low Risk
0107-WESLM,0.35,Medium Risk
6994-ORCWG,0.14,Low Risk
1346-UFHAX,0.25,Low Risk
3992-YWPKO,0.57,Medium Risk
2933-XEUJM,0.0,Low Risk
0125-LZQXK,0.77,High Risk
5461-QKNTN,0.11,Low Risk
4835-YSJMR,0.01,Low Risk
8399-YNDCH,0.18,Low Risk
3164-YAXFY,0.1,Low Risk
0887-WBJVH,0.19,Low Risk
4660-IRIBM,0.23,Low Risk
5673-FSSMF,0.82,High Risk
7670-ZBPOQ,0.01,Low Risk
8089-UZWLX,0.03,Low Risk
0080-OROZO,0.5,Medium Risk
3916-NRPAP,0.15,Low Risk
6807-SIWJI,0.1,Low Risk
8221-HVAYI,0.0,Low Risk
1579-KLYDT,0.73,High Risk
5232-NXPAY,0.02,Low Risk
8967-SZQAS,0.01,Low Risk
4468-KAZHE,0.21,Low Risk
0455-ENTCR,0.02,Low Risk
8944-AILEF,0.1,Low Risk
5542-NKVRU,0.0,Low Risk
7126-RBHSD,0.43,Medium Risk
5370-IIVVL,0.11,Low Risk
6789-HJBWG,0.15,Low Risk
3927-NLNRY,0.72,High Risk
9087-EYCPR,0.0,Low Risk
6791-YBNAK,0.03,Low Risk
6358-LYNGM,0.95,High Risk
6077-BDPXA,0.42,Medium Risk
0013-MHZWF,0.13,Low Risk
5494-HECPR,0.87,High Risk
8268-YDIXR,0.06,Low Risk
9824-BEMCV,0.63,Medium Risk
1373-ORVIZ,0.68,Medium Risk
4291-SHSBH,0.16,Low Risk
6980-IMXXE,0.0,Low Risk
9866-QEVEE,0.77,High Risk
9897-KXHCM,0.55,Medium Risk
0040-HALCW,0.01,Low Risk
0784-GTUUK,0.0,Low Risk
7979-CORPM,0.79,High Risk
2294-DMMUS,0.2,Low Risk
0872-JCPIB,0.09,Low Risk
3055-MJDSB,0.43,Medium Risk
9091-WTUUY,0.0,Low Risk
1618-CFHME,0.73,High Risk
3165-HDOEW,0.91,High Risk
6581-NQCBA,0.78,High Risk
7115-IRDHS,0.0,Low Risk
8496-DMZUK,0.02,Low Risk
2040-VZIKE,0.11,Low Risk
9068-VPWQQ,0.04,Low Risk
0178-SZBHO,0.15,Low Risk
0384-RVBPI,0.06,Low Risk
1689-MRZQR,0.7,Medium Risk
1299-AURJA,0.0,Low Risk
4525-VZCZG,0.1,Low Risk
1543-LLLFT,0.08,Low Risk
5835-BEQEU,0.93,High Risk
2788-CJQAQ,0.0,Low Risk
5565-FILXA,0.95,High Risk
0319-QZTCO,0.24,Low Risk
2120-SMPEX,0.0,Low Risk
0096-FCPUF,0.01,Low Risk
0668-OGMHD,0.24,Low Risk
5552-ZNFSJ,0.96,High Risk
2223-KAGMX,0.3,Low Risk
6507-ZJSUR,0.13,Low Risk
9408-HRXRK,0.12,Low Risk
5593-SUAOO,0.04,Low Risk
7321-PKUYW,0.89,High Risk
2833-SLKDQ,0.71,High Risk
6766-HFKLA,0.05,Low Risk
7595-EUIVN,0.88,High Risk
7617-EYGLW,0.21,Low Risk
2026-TGDHM,0.91,High Risk
9220-ZNKJI,0.01,Low Risk
4030-VPZBD,0.88,High Risk
2226-ICFDO,0.0,Low Risk
0723-VSOBE,0.08,Low Risk
5529-GIBVH,0.01,Low Risk
4187-CINZD,0.71,High Risk
9992-UJOEL,0.16,Low Risk
4741-WWJQZ,0.66,Medium Risk
6625-UTXEW,0.07,Low Risk
6818-WOBHJ,0.13,Low Risk
6244-BESBM,0.05,Low Risk
1004-NOZNR,0.11,Low Risk
1251-STYSZ,0.15,Low Risk
2612-PHGOX,0.02,Low Risk
2408-TZMJL,0.75,High Risk
8480-PPONV,0.02,Low Risk
8780-IHCRN,0.0,Low Risk
4598-ZADCK,0.03,Low Risk
1257-SXUXQ,0.13,Low Risk
9681-KYGYB,0.14,Low Risk
7182-OVLBJ,0.06,Low Risk
5095-ETBRJ,0.04,Low Risk
7005-CYUIL,0.02,Low Risk
4821-WQOYN,0.02,Low Risk
4730-AWNAU,0.0,Low Risk
3452-FLHYD,0.0,Low Risk
2388-LAESQ,0.0,Low Risk
9531-NSBMR,0.01,Low Risk
6260-ONULR,0.26,Low Risk
4389-UEFCZ,0.04,Low Risk
8711-LOBKY,0.01,Low Risk
9134-CEQMF,0.69,Medium Risk
8985-OOPOS,0.14,Low Risk
8800-ZKRFW,0.39,Medium Risk
2616-FLVQC,0.02,Low Risk
9968-FFVVH,0.01,Low Risk
3108-PCCGG,0.0,Low Risk
7993-PYKOF,0.74,High Risk
8390-FESFV,0.01,Low Risk
3022-BEXHZ,0.12,Low Risk
5027-XWQHA,0.73,High Risk
6248-TKCQV,0.05,Low Risk
6729-GDNGC,0.03,Low Risk
6198-ZFIOJ,0.86,High Risk
5989-OMNJE,0.09,Low Risk
4566-QVRRW,0.74,High Risk
1291-CUOCY,0.03,Low Risk
9795-SHUHB,0.0,Low Risk
3230-IUALN,0.0,Low Risk
0042-RLHYP,0.0,Low Risk
8519-IMDHU,0.8,High Risk
4945-RVMTE,0.02,Low Risk
0201-OAMXR,0.78,High Risk
1866-NXPSP,0.04,Low Risk
3372-KWFBM,0.91,High Risk
7831-QGOXH,0.78,High Risk
6393-WRYZE,0.79,High Risk
3941-XTSKM,0.06,Low Risk
1661-CZBAU,0.03,Low Risk
6599-RCLCJ,0.72,High Risk
9831-BPFRI,0.8,High Risk
5158-RIVOP,0.0,Low Risk
9788-YTFGE,0.02,Low Risk
9277-JOOMO,0.13,Low Risk
1907-YLNYW,0.1,Low Risk
1725-MIMXW,0.69,Medium Risk
8947-YRTDV,0.15,Low Risk
3161-ONRWK,0.02,Low Risk
0114-RSRRW,0.02,Low Risk
4565-NLZBV,0.0,Low Risk
0031-PVLZI,0.63,Medium Risk
7206-GZCDC,1.0,High Risk
6682-VCIXC,0.05,Low Risk
4791-QRGMF,0.75,High Risk
6475-VHUIZ,0.18,Low Risk
3910-MRQOY,0.0,Low Risk
0661-WCQNQ,0.05,Low Risk
7537-RBWEA,0.27,Low Risk
4656-CAURT,0.0,Low Risk
0121-SNYRK,0.01,Low Risk
1768-ZAIFU,0.94,High Risk
4671-LXRDQ,0.45,Medium Risk
3733-LSYCE,0.08,Low Risk
6265-FRMTQ,0.0,Low Risk
1934-SJVJK,0.8833333333333334,High Risk
3838-OZURD,0.74,High Risk
1371-DWPAZ,0.14,Low Risk
9269-CQOOL,0.8,High Risk
2017-CCBLH,0.02,Low Risk
7690-KPNCU,0.1,Low Risk
0536-BGFMZ,0.01,Low Risk
2293-IJWPS,0.39,Medium Risk
2845-HSJCY,0.84,High Risk
5469-NUJUR,0.0,Low Risk
1184-PJVDB,0.88,High Risk
2625-TRCZQ,0.2,Low Risk
4102-HLENU,0.01,Low Risk
7266-GSSJX,0.06,Low Risk
7722-VJRQD,0.0,Low Risk
7073-QETQY,0.03,Low Risk
9415-DPEWS,0.83,High Risk
5624-RYAMH,0.09,Low Risk
0196-JTUQI,0.16,Low Risk
7130-YXBRO,0.14,Low Risk
9272-LSVYH,0.1,Low Risk
7943-RQCHR,0.99,High Risk
3793-MMFUH,0.92,High Risk
3249-ZPQRG,0.82,High Risk
2568-BRGYX,0.85,High Risk
3084-DOWLE,0.0,Low Risk
1084-MNSMJ,0.0,Low Risk
7721-JXEAW,0.62,Medium Risk
7249-WBIYX,0.93,High Risk
4238-HFHSN,0.08,Low Risk
6250-CGGUN,0.07,Low Risk
5478-JJVZK,0.05,Low Risk
7596-IIWYC,0.0,Low Risk
6567-HOOPW,0.95,High Risk
9793-WECQC,0.3,Low Risk
4291-HPAXL,0.735,High Risk
8999-YPYBV,0.0,Low Risk
1839-FBNFR,0.0,Low Risk
3164-AALRN,0.71,High Risk
3071-MVJCD,0.0,Low Risk
1697-BCSHV,0.03,Low Risk
0562-KBDVM,0.0,Low Risk
1131-SUEKT,0.05,Low Risk
3717-OEAUQ,0.27,Low Risk
4538-WNTMJ,0.0,Low Risk
3334-CTHOL,0.78,High Risk
4704-ERYFC,0.79,High Risk
9432-RUVSL,0.07,Low Risk
8060-HIWJJ,0.0,Low Risk
7684-XSZIY,0.0,Low Risk
9089-UOWJG,0.06,Low Risk
8621-MNIHH,0.77,High Risk
8039-ACLPL,0.0,Low Risk
9885-AIBVB,0.19,Low Risk
1934-MKPXS,0.0,Low Risk
2592-YKDIF,0.13916666666666666,Low Risk
2272-JKMSI,0.13,Low Risk
0471-LVHGK,0.66,Medium Risk
9518-RWHZL,0.62,Medium Risk
8714-CTZJW,0.75,High Risk
3569-EDBPQ,0.18,Low Risk
3131-NWVFJ,0.0,Low Risk
7521-YXVZY,0.08,Low Risk
5419-CONWX,0.93,High Risk
6240-EURKS,0.73,High Risk
2373-NTKOD,0.08,Low Risk
1970-KKFWL,0.02,Low Risk
6960-HVYXR,0.96,High Risk
9337-SRRNI,0.01,Low Risk
0895-UADGO,0.12,Low Risk
5678-VFNEQ,0.06,Low Risk
5977-CKHON,0.11,Low Risk
7024-OHCCK,0.98,High Risk
2692-BUCFV,0.25,Low Risk
7861-UVUFT,0.49,Medium Risk
1830-GGFNM,0.01,Low Risk
5302-BDJNT,0.32,Medium Risk
5223-UZAVK,0.07,Low Risk
4859-ZSRDZ,0.0,Low Risk
5651-WYIPH,0.09,Low Risk
9350-VLHMB,0.05,Low Risk
3498-LZGQZ,0.07,Low Risk
8785-CJSHH,0.35,Medium Risk
5357-TZHPP,0.64,Medium Risk
3870-SPZSI,0.04,Low Risk
0680-DFNNY,0.61,Medium Risk
7560-QRBXH,0.03,Low Risk
7077-XJMET,0.27,Low Risk
8752-GHJFU,0.11,Low Risk
6896-SRVYQ,0.12,Low Risk
7767-UXAGJ,0.83,High Risk
4652-ODEVH,0.0,Low Risk
6510-UPNKS,0.05,Low Risk
6718-BDGHG,0.05,Low Risk
9046-DQMTP,0.02,Low Risk
6439-LAJXL,0.12,Low Risk
1571-SAVHK,0.92,High Risk
9052-VKDUW,0.08,Low Risk
9546-CQJSU,0.73,High Risk
1666-JZPZT,0.01,Low Risk
5777-KJIRB,0.08,Low Risk
0506-LVNGN,0.88,High Risk
7677-SJJJK,0.01,Low Risk
2480-EJWYP,0.13,Low Risk
3253-HKOKL,0.06,Low Risk
7055-HNEOJ,0.49,Medium Risk
5514-YQENT,0.08,Low Risk
3211-AAPKX,0.26,Low Risk
8445-DNBAE,0.3,Low Risk
2951-QOQTK,0.89,High Risk
2958-NHPPS,0.03,Low Risk
6806-YDEUL,0.17,Low Risk
1735-XMJVH,0.13,Low Risk
6890-PFRQX,0.05,Low Risk
0222-CNVPT,0.29,Low Risk
5899-OUVKV,0.11,Low Risk
8681-ICONS,0.07,Low Risk
1621-YNCJH,0.04,Low Risk
3473-XIIIT,0.86,High Risk
6362-QHAFM,0.2,Low Risk
7893-IXHRQ,0.76,High Risk
3070-BDOQC,0.07,Low Risk
2952-QAYZF,0.89,High Risk
6234-PFPXL,0.11,Low Risk
9824-QCJPK,0.0,Low Risk
4763-PGDPO,0.83,High Risk
4283-IVYCI,0.08,Low Risk
1866-OBPNR,0.51,Medium Risk
8205-MQUGY,0.07,Low Risk
8970-ANWXO,0.17,Low Risk
9480-BQJEI,0.03,Low Risk
